                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.94916,                  1.468,                0.89663,                0.93807,                0.32077,                0.22222,                0.20556,                0.11339,                0.32483,                0.20318,                0.20166,                0.10481,                   2.42,                 16.531,                  4.451,                 1.8596,             0.00080053,             0.00080053,             0.00080053
                     57,                 1.1239,                 1.1802,                0.97822,                 1.0181,                0.04336,                0.13333,                0.01485,                0.00857,                0.03462,                0.11111,                0.01163,                0.00541,                 2.5892,                 18.515,                  16.62,                 1.9837,             0.00080954,             0.00080954,             0.00080954
                     58,                 1.0304,                 1.1945,                0.84734,                0.93548,                0.04336,                0.13333,                0.01485,                0.00857,                0.03462,                0.11111,                0.01163,                0.00541,                 2.5892,                 18.515,                  16.62,                 1.9837,             0.00081835,             0.00081835,             0.00081835
                     59,                 1.0103,                 1.4087,                 1.0227,                 1.0336,                0.04336,                0.13333,                0.01485,                0.00857,                0.03462,                0.11111,                0.01163,                0.00541,                 2.5892,                 18.515,                  16.62,                 1.9837,             0.00082696,             0.00082696,             0.00082696
                     60,                 1.0033,                 1.3717,                0.95029,                0.95407,                0.04336,                0.13333,                0.01485,                0.00857,                0.03462,                0.11111,                0.01163,                0.00541,                 2.8686,                  54.88,                 97.607,                 2.9813,             0.00083538,             0.00083538,             0.00083538
                     61,                 1.3012,                 1.3349,                 1.2473,                0.97492,                0.04336,                0.13333,                0.01485,                0.00857,                0.03462,                0.11111,                0.01163,                0.00541,                 2.8686,                  54.88,                 97.607,                 2.9813,              0.0008436,              0.0008436,              0.0008436
                     62,                 1.0416,                 1.3163,                 1.1989,                0.97248,                0.04336,                0.13333,                0.01485,                0.00857,                0.03462,                0.11111,                0.01163,                0.00541,                 2.8686,                  54.88,                 97.607,                 2.9813,             0.00085162,             0.00085162,             0.00085162
                     63,                 1.1593,                 1.4868,                 1.1009,                 1.0066,                0.00167,                0.01111,                0.00086,                  9e-05,                      0,                      0,                      0,                      0,                 3.0959,                 355.62,                    inf,                 6.4836,             0.00085944,             0.00085944,             0.00085944
                     64,                0.96833,                 1.5479,                0.98256,                 0.9286,                0.00167,                0.01111,                0.00086,                  9e-05,                      0,                      0,                      0,                      0,                 3.0959,                 355.62,                    inf,                 6.4836,             0.00086707,             0.00086707,             0.00086707
                     65,                 1.0265,                 1.3792,                0.92171,                0.97264,                0.00167,                0.01111,                0.00086,                  9e-05,                      0,                      0,                      0,                      0,                 3.0959,                 355.62,                    inf,                 6.4836,              0.0008745,              0.0008745,              0.0008745
                     66,                 1.0588,                 1.3111,                 1.3916,                0.95205,                0.00167,                0.01111,                0.00086,                  9e-05,                      0,                      0,                      0,                      0,                 3.0863,                 977.74,                    inf,                 9.4456,             0.00088173,             0.00088173,             0.00088173
                     67,                 1.1415,                 1.5931,                 1.3271,                  0.991,                0.00167,                0.01111,                0.00086,                  9e-05,                      0,                      0,                      0,                      0,                 3.0863,                 977.74,                    inf,                 9.4456,             0.00088876,             0.00088876,             0.00088876
                     68,                 1.1136,                 1.6754,                 1.2312,                0.95287,                0.00167,                0.01111,                0.00086,                  9e-05,                      0,                      0,                      0,                      0,                 3.0863,                 977.74,                    inf,                 9.4456,             0.00089559,             0.00089559,             0.00089559
                     69,                 1.0762,                 1.7432,                 1.1915,                0.96749,                0.00167,                0.01111,                0.00086,                  9e-05,                      0,                      0,                      0,                      0,                 2.0603,                  563.4,                 118.85,                 3.4476,             0.00090222,             0.00090222,             0.00090222
                     70,                0.97131,                 1.6132,                 1.0121,                0.95158,                0.00167,                0.01111,                0.00086,                  9e-05,                      0,                      0,                      0,                      0,                 2.0603,                  563.4,                 118.85,                 3.4476,             0.00090866,             0.00090866,             0.00090866
